origen_id,origen_zona,destino_id,destino_zona,distancia_geodesica_km,distancia_manhattan_aprox_km,distancia_manhattan_exacta_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min
13,Battery Park City,43,Central Park,8.91,12.114,12.044,28.9,36.1,24.1
13,Battery Park City,45,Chinatown,1.516,1.571,1.578,3.8,4.7,3.2
13,Battery Park City,48,Clinton East,6.0,7.804,7.751,18.6,23.3,15.5
13,Battery Park City,50,Clinton West,6.273,7.796,7.737,18.6,23.2,15.5
13,Battery Park City,68,East Chelsea,4.265,5.413,5.374,12.9,16.1,10.7
13,Battery Park City,74,East Harlem North,11.924,16.586,16.502,39.6,49.5,33.0
13,Battery Park City,75,East Harlem South,10.5,14.633,14.561,34.9,43.7,29.1
13,Battery Park City,79,East Village,3.079,4.292,4.285,10.3,12.9,8.6
13,Battery Park City,87,Financial District North,0.929,1.31,1.304,3.1,3.9,2.6
13,Battery Park City,88,Financial District South,1.038,1.351,1.356,3.3,4.1,2.7
13,Battery Park City,90,Flatiron,3.726,4.981,4.951,11.9,14.9,9.9
13,Battery Park City,100,Garment District,5.151,6.924,6.883,16.5,20.6,13.8
13,Battery Park City,103,Governor's Island/Ellis Island/Liberty Island,3.487,4.945,4.93,11.8,14.8,9.9
13,Battery Park City,107,Gramercy,3.86,5.474,5.456,13.1,16.4,10.9
13,Battery Park City,113,Greenwich Village North,2.93,4.131,4.114,9.9,12.3,8.2
13,Battery Park City,114,Greenwich Village South,2.403,3.399,3.386,8.1,10.2,6.8
13,Battery Park City,116,Hamilton Heights,13.984,18.505,18.383,44.1,55.1,36.8
13,Battery Park City,120,Highbridge Park,16.616,22.245,22.103,53.0,66.3,44.2
13,Battery Park City,125,Hudson Sq,1.741,2.312,2.298,5.5,6.9,4.6
13,Battery Park City,127,Inwood,18.956,25.324,25.159,60.4,75.5,50.3
13,Battery Park City,128,Inwood Hill Park,19.415,25.593,25.418,61.0,76.3,50.8
13,Battery Park City,137,Kips Bay,4.597,6.517,6.498,15.6,19.5,13.0
13,Battery Park City,140,Lenox Hill East,7.878,11.146,11.103,26.6,33.3,22.2
13,Battery Park City,141,Lenox Hill West,7.74,10.893,10.846,26.0,32.5,21.7
13,Battery Park City,142,Lincoln Square East,7.436,9.774,9.71,23.3,29.1,19.4
13,Battery Park City,143,Lincoln Square West,7.494,9.513,9.444,22.7,28.3,18.9
13,Battery Park City,144,Little Italy/NoLiTa,1.894,2.611,2.608,6.3,7.8,5.2
13,Battery Park City,148,Lower East Side,2.262,2.906,2.908,7.0,8.7,5.8
13,Battery Park City,151,Manhattan Valley,10.364,13.61,13.519,32.4,40.6,27.0
13,Battery Park City,152,Manhattanville,12.887,17.054,16.943,40.7,50.8,33.9
13,Battery Park City,153,Marble Hill,20.273,27.181,27.005,64.8,81.0,54.0
13,Battery Park City,158,Meatpacking/West Village West,2.623,3.156,3.13,7.5,9.4,6.3
13,Battery Park City,161,Midtown Center,6.049,8.367,8.325,20.0,25.0,16.6
13,Battery Park City,162,Midtown East,6.183,8.673,8.634,20.7,25.9,17.3
13,Battery Park City,163,Midtown North,6.665,9.088,9.037,21.7,27.1,18.1
13,Battery Park City,164,Midtown South,4.826,6.684,6.651,16.0,20.0,13.3
13,Battery Park City,166,Morningside Heights,11.75,15.43,15.327,36.8,46.0,30.7
13,Battery Park City,170,Murray Hill,5.08,7.158,7.129,17.1,21.4,14.3
13,Battery Park City,186,Penn Station/Madison Sq West,4.515,6.056,6.02,14.4,18.1,12.0
13,Battery Park City,194,Randalls Island,11.687,16.541,16.476,39.5,49.4,33.0
13,Battery Park City,202,Roosevelt Island,7.865,11.155,11.119,26.7,33.4,22.2
13,Battery Park City,209,Seaport,1.1,1.384,1.37,3.3,4.1,2.7
13,Battery Park City,211,SoHo,1.8,2.551,2.543,6.1,7.6,5.1
13,Battery Park City,224,Stuy Town/Peter Cooper Village,3.994,5.552,5.543,13.3,16.6,11.1
13,Battery Park City,229,Sutton Place/Turtle Bay North,6.568,9.29,9.254,22.2,27.8,18.5
13,Battery Park City,230,Times Sq/Theatre District,5.95,8.014,7.966,19.1,23.9,15.9
13,Battery Park City,231,TriBeCa/Civic Center,0.941,1.333,1.33,3.2,4.0,2.7
13,Battery Park City,232,Two Bridges/Seward Park,2.809,3.109,3.12,7.5,9.4,6.2
13,Battery Park City,233,UN/Turtle Bay South,5.706,8.083,8.054,19.3,24.2,16.1
13,Battery Park City,234,Union Sq,3.816,5.319,5.294,12.7,15.9,10.6
13,Battery Park City,236,Upper East Side North,9.087,12.613,12.549,30.1,37.6,25.1
13,Battery Park City,237,Upper East Side South,7.591,10.568,10.516,25.2,31.5,21.0
13,Battery Park City,238,Upper West Side North,9.564,12.501,12.416,29.8,37.2,24.8
13,Battery Park City,239,Upper West Side South,8.59,11.166,11.09,26.6,33.3,22.2
13,Battery Park City,243,Washington Heights North,17.576,23.179,23.022,55.3,69.1,46.0
13,Battery Park City,244,Washington Heights South,15.719,20.741,20.602,49.4,61.8,41.2
13,Battery Park City,246,West Chelsea/Hudson Yards,4.695,5.607,5.56,13.3,16.7,11.1
13,Battery Park City,249,West Village,2.74,3.624,3.601,8.6,10.8,7.2
13,Battery Park City,261,World Trade Center,0.413,0.582,0.581,1.4,1.7,1.2
13,Battery Park City,262,Yorkville East,9.212,13.006,12.952,31.1,38.9,25.9
13,Battery Park City,263,Yorkville West,9.226,12.938,12.879,30.9,38.6,25.8
24,Bloomingdale,4,Alphabet City,8.74,9.659,9.562,22.9,28.7,19.1
24,Bloomingdale,12,Battery Park,11.782,15.249,15.143,36.3,45.4,30.3
24,Bloomingdale,13,Battery Park City,10.863,14.283,14.189,34.1,42.6,28.4
24,Bloomingdale,24,Bloomingdale,0.0,0.0,0.0,0.0,0.0,0.0
24,Bloomingdale,41,Central Harlem,1.226,1.468,1.47,3.5,4.4,2.9
24,Bloomingdale,42,Central Harlem North,2.76,3.908,3.895,9.3,11.7,7.8
24,Bloomingdale,43,Central Park,2.165,2.17,2.183,5.2,6.5,4.4
24,Bloomingdale,45,Chinatown,10.316,12.713,12.611,30.3,37.8,25.2
24,Bloomingdale,48,Clinton East,4.867,6.48,6.438,15.5,19.3,12.9
24,Bloomingdale,50,Clinton West,4.692,6.487,6.452,15.5,19.4,12.9
24,Bloomingdale,68,East Chelsea,6.619,8.87,8.815,21.2,26.4,17.6
24,Bloomingdale,74,East Harlem North,2.376,2.48,2.435,5.8,7.3,4.9
24,Bloomingdale,75,East Harlem South,2.13,3.005,2.988,7.2,9.0,6.0
24,Bloomingdale,79,East Village,8.435,9.992,9.904,23.8,29.7,19.8
24,Bloomingdale,87,Financial District North,11.147,14.134,14.029,33.7,42.1,28.1
24,Bloomingdale,88,Financial District South,11.62,14.859,14.752,35.4,44.3,29.5
24,Bloomingdale,90,Flatiron,7.142,9.303,9.238,22.2,27.7,18.5
24,Bloomingdale,100,Garment District,5.73,7.36,7.306,17.5,21.9,14.6
24,Bloomingdale,103,Governor's Island/Ellis Island/Liberty Island,14.157,19.228,19.118,45.9,57.4,38.2
24,Bloomingdale,107,Gramercy,7.402,8.81,8.733,21.0,26.2,17.5
24,Bloomingdale,113,Greenwich Village North,8.081,10.153,10.075,24.2,30.2,20.1
24,Bloomingdale,114,Greenwich Village South,8.609,10.885,10.802,25.9,32.4,21.6
24,Bloomingdale,116,Hamilton Heights,3.127,4.221,4.194,10.1,12.6,8.4
24,Bloomingdale,120,Highbridge Park,5.788,7.962,7.914,19.0,23.7,15.8
24,Bloomingdale,125,Hudson Sq,9.122,11.971,11.89,28.5,35.7,23.8
24,Bloomingdale,127,Inwood,8.114,11.04,10.97,26.3,32.9,21.9
24,Bloomingdale,128,Inwood Hill Park,8.553,11.31,11.23,27.0,33.7,22.5
24,Bloomingdale,137,Kips Bay,6.896,7.766,7.691,18.5,23.1,15.4
24,Bloomingdale,140,Lenox Hill East,4.152,4.963,4.994,12.0,15.0,10.0
