origen_id,4,12,13,24,41,42,43,45,48,50,68,74,75,79,87,88,90,100,103,107,113,114,116,120,125,127,128,137,140,141,142,143,144,148,151,152,153,158,161,162,163,164,166,170,186,194,202,209,211,224,229,230,231,232,233,234,236,237,238,239,243,244,246,249,261,262,263
141,6.268,11.858,10.893,4.384,4.859,7.299,2.227,9.322,3.089,3.096,5.48,5.693,3.74,6.601,10.744,11.468,5.912,3.969,15.837,5.419,6.762,7.494,7.612,11.352,8.58,14.431,14.7,4.376,0.579,0.0,2.603,3.382,8.282,7.986,4.168,6.161,16.288,7.737,2.526,2.22,1.805,4.209,4.899,3.734,4.836,5.648,1.383,10.167,8.341,5.341,1.603,2.879,9.559,7.784,2.809,5.574,1.72,0.695,3.888,3.503,12.286,9.848,5.286,7.269,10.955,2.113,2.045
142,5.925,10.739,9.774,4.51,5.978,8.418,2.34,8.203,1.97,1.977,4.361,6.812,4.859,5.482,9.624,10.349,4.793,2.85,14.718,4.3,5.643,6.375,8.731,12.472,7.461,15.55,15.82,4.113,3.182,2.603,0.0,0.778,7.162,6.867,3.836,7.281,17.407,6.618,2.058,2.661,1.359,3.09,5.657,3.132,3.717,6.767,3.987,9.047,7.222,5.061,3.269,1.76,8.44,6.665,3.575,4.455,2.839,1.908,2.727,1.393,13.405,10.968,4.167,6.149,9.836,3.232,3.164
143,6.703,10.478,9.513,4.771,6.239,8.679,2.601,7.942,1.709,1.716,4.1,7.073,5.12,5.511,9.364,10.088,4.532,2.589,14.457,4.65,5.382,6.114,8.992,12.732,7.2,15.811,16.08,4.891,3.96,3.382,0.778,0.0,6.902,6.606,4.097,7.541,17.668,6.357,2.837,3.439,2.138,3.252,5.918,3.91,3.456,7.028,4.765,8.787,6.961,5.839,4.048,2.086,8.179,7.19,4.354,4.194,3.1,2.687,2.988,1.654,13.666,11.228,3.906,5.889,9.575,3.5,3.425
144,2.014,3.577,2.611,11.672,13.141,15.58,9.502,1.04,5.193,5.185,3.312,13.975,12.022,1.681,2.462,3.187,2.379,4.312,7.556,2.862,1.52,0.866,15.893,19.634,1.498,22.713,22.982,3.906,8.535,8.282,7.162,6.902,0.0,0.728,10.999,14.443,24.57,2.596,5.756,6.061,6.477,4.073,12.819,4.547,3.445,13.93,8.544,1.885,0.726,2.941,6.679,5.402,1.278,1.864,5.472,2.708,10.002,7.957,9.89,8.555,20.568,18.13,4.202,2.026,2.673,10.395,10.327
148,1.718,3.872,2.906,11.377,12.845,15.285,9.207,1.336,4.897,5.611,4.04,13.679,11.726,1.385,2.757,3.482,3.107,4.017,7.851,2.567,1.804,1.595,15.598,19.339,2.226,22.417,22.687,3.611,8.24,7.986,6.867,6.606,0.728,0.0,10.703,14.148,24.274,3.324,5.461,5.766,6.181,3.778,12.524,4.252,3.412,13.634,8.249,2.18,1.454,2.645,6.384,5.107,1.573,1.136,5.177,2.413,9.706,7.661,9.594,8.26,20.272,17.835,4.93,2.754,2.968,10.099,10.031
151,8.985,14.575,13.61,0.673,2.142,4.582,1.941,12.039,5.806,5.814,8.197,2.976,2.788,9.318,13.461,14.186,8.629,6.686,18.555,8.136,9.479,10.211,4.895,8.635,11.298,11.714,11.983,7.093,4.747,4.168,3.836,4.097,10.999,10.703,0.0,3.444,13.571,10.454,5.243,4.937,4.522,6.926,1.82,6.451,7.553,4.476,5.551,12.884,11.059,8.058,4.834,5.596,12.276,10.501,5.527,8.291,2.894,3.473,1.109,2.443,9.569,7.131,8.003,9.986,13.672,4.286,3.589
152,12.43,18.02,17.054,2.771,1.726,1.137,4.941,15.484,9.25,9.258,11.641,3.263,3.787,12.763,16.905,17.63,12.073,10.131,21.999,11.581,12.923,13.655,1.45,5.191,14.742,8.269,8.539,10.537,5.908,6.161,7.281,7.541,14.443,14.148,3.444,0.0,10.126,13.898,8.687,8.382,7.966,10.37,1.624,9.896,10.998,5.475,6.55,16.328,14.503,11.502,7.764,9.041,15.721,13.946,8.971,11.735,4.441,6.486,4.554,5.888,6.125,3.687,11.448,13.43,17.116,5.285,4.588
153,22.556,28.146,27.181,12.897,11.429,8.989,15.067,25.61,19.377,19.384,21.768,10.595,12.548,22.889,27.032,27.756,22.2,20.257,32.125,21.707,23.05,23.782,8.676,4.936,24.868,1.857,1.588,20.664,16.034,16.288,17.407,17.668,24.57,24.274,13.571,10.126,0.0,24.025,18.813,18.508,18.093,20.497,11.75,20.022,21.124,10.64,16.025,26.455,24.629,21.629,17.891,19.167,25.847,24.072,19.097,21.862,14.568,16.613,14.68,16.014,4.002,6.439,21.574,23.557,27.243,14.175,14.243
158,3.974,4.121,3.156,11.128,12.596,15.036,8.958,3.427,4.648,4.641,2.257,13.43,11.477,2.782,3.26,3.731,1.825,3.768,8.1,2.318,1.52,1.729,15.349,19.089,1.098,22.168,22.437,3.361,7.991,7.737,6.618,6.357,2.596,3.324,10.454,13.898,24.025,0.0,5.212,5.517,5.932,3.528,12.275,4.003,2.901,13.385,8.0,3.334,1.87,3.11,6.134,4.858,2.01,4.46,4.928,2.163,9.457,7.412,9.345,8.011,20.023,17.585,2.451,0.57,3.218,9.85,9.782
161,3.867,9.333,8.367,5.916,7.384,9.824,3.746,6.797,1.501,2.393,2.954,8.219,6.266,4.076,8.218,8.943,3.386,1.444,13.312,2.894,4.236,4.968,10.137,13.878,6.055,16.956,17.226,2.055,2.779,2.526,2.058,2.837,5.756,5.461,5.243,8.687,18.813,5.212,0.0,0.603,0.721,1.683,7.063,1.209,2.311,8.174,2.788,7.641,5.816,3.003,1.211,0.751,7.034,5.259,1.517,3.048,4.246,2.201,4.133,2.958,14.812,12.374,2.761,4.743,8.429,4.638,4.57
