PUlocationID,DOlocationID,n_viajes,pct,pct_acum,frecuente_80,macrozona_origen,macrozona_destino
246.0,48.0,413,0.0014086909066102736,0.15635786888600864,True,0,0
170.0,170.0,411,0.0014018691588785046,0.15775973804488713,True,0,0
249.0,170.0,410,0.0013984582850126203,0.15915819632989975,True,2,0
142.0,142.0,409,0.0013950474111467358,0.1605532437410465,True,0,0
163.0,161.0,408,0.0013916365372808515,0.16194488027832735,True,0,0
237.0,239.0,407,0.001388225663414967,0.1633331059417423,True,1,0
161.0,186.0,406,0.0013848147895490824,0.16471792073129138,True,0,0
141.0,229.0,405,0.0013814039156831981,0.16609932464697458,True,1,0
234.0,68.0,404,0.0013779930418173136,0.1674773176887919,True,0,0
162.0,170.0,403,0.001374582167951429,0.16885189985674331,True,0,0
161.0,163.0,400,0.0013643495463537757,0.1702162494030971,True,0,0
79.0,148.0,400,0.0013643495463537757,0.17158059894945088,True,0,2
